"status","period_folder","area_folder","center_folder","relative_path","on_desktop","on_github"
"presente_in_entrambi","01_P1 · Prima del 3000 a.C. — Neolitico e pr…","01_Asia sud-occidentale e altopiano iran…","01_Gerico","01_P1 · Prima del 3000 a.C. — Neolitico e pr…/01_Asia sud-occidentale e altopiano iran…/Centri abitati/01_Gerico","True","True"
"presente_in_entrambi","01_P1 · Prima del 3000 a.C. — Neolitico e pr…","01_Asia sud-occidentale e altopiano iran…","02_Catalhoyuk","01_P1 · Prima del 3000 a.C. — Neolitico e pr…/01_Asia sud-occidentale e altopiano iran…/Centri abitati/02_Catalhoyuk","True","True"
"presente_in_entrambi","01_P1 · Prima del 3000 a.C. — Neolitico e pr…","01_Asia sud-occidentale e altopiano iran…","02_Çatalhöyük","01_P1 · Prima del 3000 a.C. — Neolitico e pr…/01_Asia sud-occidentale e altopiano iran…/Centri abitati/02_Çatalhöyük","True","True"
"presente_in_entrambi","01_P1 · Prima del 3000 a.C. — Neolitico e pr…","01_Asia sud-occidentale e altopiano iran…","03_Abu_Hureyra","01_P1 · Prima del 3000 a.C. — Neolitico e pr…/01_Asia sud-occidentale e altopiano iran…/Centri abitati/03_Abu_Hureyra","True","True"
"presente_in_entrambi","01_P1 · Prima del 3000 a.C. — Neolitico e pr…","01_Asia sud-occidentale e altopiano iran…","03_villaggi del Levante e dell'Anatolia","01_P1 · Prima del 3000 a.C. — Neolitico e pr…/01_Asia sud-occidentale e altopiano iran…/Centri abitati/03_villaggi del Levante e dell'Anatolia","True","True"
"presente_in_entrambi","01_P1 · Prima del 3000 a.C. — Neolitico e pr…","01_Asia sud-occidentale e altopiano iran…","04_Ain_Ghazal","01_P1 · Prima del 3000 a.C. — Neolitico e pr…/01_Asia sud-occidentale e altopiano iran…/Centri abitati/04_Ain_Ghazal","True","True"
"presente_in_entrambi","01_P1 · Prima del 3000 a.C. — Neolitico e pr…","01_Asia sud-occidentale e altopiano iran…","04_Uruk emerge alla fine del periodo","01_P1 · Prima del 3000 a.C. — Neolitico e pr…/01_Asia sud-occidentale e altopiano iran…/Centri abitati/04_Uruk emerge alla fine del periodo","True","True"
"presente_in_entrambi","01_P1 · Prima del 3000 a.C. — Neolitico e pr…","01_Asia sud-occidentale e altopiano iran…","05_Cayonu","01_P1 · Prima del 3000 a.C. — Neolitico e pr…/01_Asia sud-occidentale e altopiano iran…/Centri abitati/05_Cayonu","True","True"
"presente_in_entrambi","01_P1 · Prima del 3000 a.C. — Neolitico e pr…","01_Asia sud-occidentale e altopiano iran…","06_Uruk","01_P1 · Prima del 3000 a.C. — Neolitico e pr…/01_Asia sud-occidentale e altopiano iran…/Centri abitati/06_Uruk","True","True"
"presente_in_entrambi","01_P1 · Prima del 3000 a.C. — Neolitico e pr…","02_Valle del Nilo e Africa nord-orientale","01_comunità predinastiche lungo il Nilo e ne…","01_P1 · Prima del 3000 a.C. — Neolitico e pr…/02_Valle del Nilo e Africa nord-orientale/Centri abitati/01_comunità predinastiche lungo il Nilo e ne…","True","True"
"presente_in_entrambi","01_P1 · Prima del 3000 a.C. — Neolitico e pr…","02_Valle del Nilo e Africa nord-orientale","01_Merimde_Beni_Salama","01_P1 · Prima del 3000 a.C. — Neolitico e pr…/02_Valle del Nilo e Africa nord-orientale/Centri abitati/01_Merimde_Beni_Salama","True","True"
"presente_in_entrambi","01_P1 · Prima del 3000 a.C. — Neolitico e pr…","02_Valle del Nilo e Africa nord-orientale","02_Maadi","01_P1 · Prima del 3000 a.C. — Neolitico e pr…/02_Valle del Nilo e Africa nord-orientale/Centri abitati/02_Maadi","True","True"
"presente_in_entrambi","01_P1 · Prima del 3000 a.C. — Neolitico e pr…","02_Valle del Nilo e Africa nord-orientale","03_El_Badari","01_P1 · Prima del 3000 a.C. — Neolitico e pr…/02_Valle del Nilo e Africa nord-orientale/Centri abitati/03_El_Badari","True","True"
"presente_in_entrambi","01_P1 · Prima del 3000 a.C. — Neolitico e pr…","02_Valle del Nilo e Africa nord-orientale","04_Naqada","01_P1 · Prima del 3000 a.C. — Neolitico e pr…/02_Valle del Nilo e Africa nord-orientale/Centri abitati/04_Naqada","True","True"
"presente_in_entrambi","01_P1 · Prima del 3000 a.C. — Neolitico e pr…","02_Valle del Nilo e Africa nord-orientale","05_Hierakonpolis","01_P1 · Prima del 3000 a.C. — Neolitico e pr…/02_Valle del Nilo e Africa nord-orientale/Centri abitati/05_Hierakonpolis","True","True"
"presente_in_entrambi","01_P1 · Prima del 3000 a.C. — Neolitico e pr…","03_Asia meridionale","01_Mehrgarh","01_P1 · Prima del 3000 a.C. — Neolitico e pr…/03_Asia meridionale/Centri abitati/01_Mehrgarh","True","True"
